Dataset Name,Gene Name,Sequence Length,Number Taxa,Percent Missing,Most missing,Least missing,base frequency p-value,HoT Alignment Score
Chiari_ESTs,my_ENSGALG00000001529.macse_DNA_gb,522,10,0.0397,0.2874,0,0.27060064,1
Chiari_ESTs,my_ENSGALG00000001550.macse_DNA_gb,534,13,0.089,0.3596,0,0.4130767,0.988764
Chiari_ESTs,my_ENSGALG00000001568.macse_DNA_gb,891,12,0.1582,0.6195,0,0,0.989944
Chiari_ESTs,my_ENSGALG00000001668.macse_DNA_gb,441,12,0.0136,0.1429,0,0.98166218,0.975169
Chiari_ESTs,my_ENSGALG00000001689.macse_DNA_gb,582,11,0.0722,0.4536,0,0.00034352,0.986418
Chiari_ESTs,my_ENSGALG00000001741.macse_DNA_gb,696,11,0.0458,0.3448,0,0.00009242,0.992816
Chiari_ESTs,my_ENSGALG00000001750.macse_DNA_gb,879,12,0.1152,0.529,0,0.90779702,1
Chiari_ESTs,my_ENSGALG00000001782.macse_DNA_gb,612,9,0.1378,0.75,0,0.93614722,1
Chiari_ESTs,my_ENSGALG00000001803.macse_DNA_gb,678,11,0.0583,0.323,0,0.99459274,1
Chiari_ESTs,my_ENSGALG00000001949.macse_DNA_gb,933,16,0.0703,0.4116,0,0,1
Chiari_ESTs,my_ENSGALG00000001976.macse_DNA_gb,1347,11,0.2187,0.7261,0,0.00000015,0.980463
Chiari_ESTs,my_ENSGALG00000002002.macse_DNA_gb,672,10,0.0478,0.2723,0,0.00001068,1
Chiari_ESTs,my_ENSGALG00000002194.macse_DNA_gb,747,10,0.0647,0.3494,0,0,0.997323
Chiari_ESTs,my_ENSGALG00000002210.macse_DNA_gb,546,12,0.0224,0.1648,0,0,0.989011
Chiari_ESTs,my_ENSGALG00000002262.macse_DNA_gb,939,14,0.0988,0.4633,0,0.0000384,1
Chiari_ESTs,my_ENSGALG00000002433.macse_DNA_gb,861,14,0.1879,0.554,0,0,0.993031
Chiari_ESTs,my_ENSGALG00000002490.macse_DNA_gb,903,15,0.1462,0.6877,0,0.67732959,1
Chiari_ESTs,my_ENSGALG00000002504.macse_DNA_gb,1374,10,0.1812,0.6572,0,0,0.998544
Chiari_ESTs,my_ENSGALG00000002514.macse_DNA_gb,732,14,0.0861,0.3893,0,0.77738104,1
Chiari_ESTs,my_ENSGALG00000002745.macse_DNA_gb,495,11,0.0171,0.1152,0,0.52219579,0.99596
Chiari_ESTs,my_ENSGALG00000002774.macse_DNA_gb,735,14,0.112,0.5918,0,0.88393967,0.951087
Chiari_ESTs,my_ENSGALG00000002921.macse_DNA_gb,999,9,0.0958,0.3934,0,0.00007819,0.997998
Chiari_ESTs,my_ENSGALG00000002969.macse_DNA_gb,711,11,0.2037,0.9916,0,0.00000009,1
Chiari_ESTs,my_ENSGALG00000002973.macse_DNA_gb,765,11,0.1376,0.4275,0,0.00065861,1
Chiari_ESTs,my_ENSGALG00000003046.macse_DNA_gb,612,13,0.0547,0.2451,0,0.80722896,1
Chiari_ESTs,my_ENSGALG00000003107.macse_DNA_gb,1215,14,0.0965,0.4296,0,0.07834719,0.998354
Chiari_ESTs,my_ENSGALG00000003331.macse_DNA_gb,699,12,0.0794,0.3648,0,0.00000045,0.994278
Chiari_ESTs,my_ENSGALG00000003337.macse_DNA_gb,966,15,0.0975,0.6087,0,0.00152945,1
Chiari_ESTs,my_ENSGALG00000003700.macse_DNA_gb,885,14,0.0792,0.3797,0,0.01547185,1
Chiari_ESTs,my_ENSGALG00000003702.macse_DNA_gb,1545,10,0.1711,0.699,0,0.0012215,0.992965
Chiari_ESTs,my_ENSGALG00000003709.macse_DNA_gb,786,10,0.0832,0.2901,0,0.02512078,0.964377
Chiari_ESTs,my_ENSGALG00000003807.macse_DNA_gb,579,12,0.1434,0.5078,0,0.09838074,1
Chiari_ESTs,my_ENSGALG00000003907.macse_DNA_gb,480,12,0.0906,0.4375,0,0.9318234,0.995833
Chiari_ESTs,my_ENSGALG00000003924.macse_DNA_gb,705,9,0.0563,0.2511,0,0.02564585,0.991513
Chiari_ESTs,my_ENSGALG00000003936.macse_DNA_gb,540,11,0.104,0.5556,0,0.00611395,0.996296
Chiari_ESTs,my_ENSGALG00000003954.macse_DNA_gb,528,14,0.0016,0.0227,0,0.24274013,1
Chiari_ESTs,my_ENSGALG00000004143.macse_DNA_gb,657,13,0.0308,0.1918,0,0.98978356,0.975831
Chiari_ESTs,my_ENSGALG00000004220.macse_DNA_gb,813,13,0.0644,0.3395,0,0.00124847,1
Chiari_ESTs,my_ENSGALG00000004259.macse_DNA_gb,846,12,0.1164,0.6418,0,0.0752532,0.992933
Chiari_ESTs,my_ENSGALG00000004269.macse_DNA_gb,876,13,0.0822,0.4555,0,0.99882075,1
Chiari_ESTs,my_ENSGALG00000004302.macse_DNA_gb,885,13,0.1262,0.4983,0,0.00173948,1
Chiari_ESTs,my_ENSGALG00000004357.macse_DNA_gb,894,11,0.1049,0.4799,0,0,0.995526
Chiari_ESTs,my_ENSGALG00000004372.macse_DNA_gb,501,10,0.0862,0.4311,0,0.05728455,0.988024
Chiari_ESTs,my_ENSGALG00000004431.macse_DNA_gb,594,12,0.0341,0.1566,0,0.07962466,0.996633
Chiari_ESTs,my_ENSGALG00000004554.macse_DNA_gb,501,11,0.012,0.1138,0,0.66531389,0.994024
Chiari_ESTs,my_ENSGALG00000004583.macse_DNA_gb,999,10,0.082,0.4685,0,0,0.998004
Chiari_ESTs,my_ENSGALG00000004588.macse_DNA_gb,450,14,0,0,0,0.95561201,1
Chiari_ESTs,my_ENSGALG00000004686.macse_DNA_gb,678,11,0.0487,0.1814,0,0,0.488235
Chiari_ESTs,my_ENSGALG00000004696.macse_DNA_gb,600,8,0.1019,0.57,0,0.92465378,1
Chiari_ESTs,my_ENSGALG00000004773.macse_DNA_gb,552,12,0.1676,0.7935,0,0.99550732,1
Chiari_ESTs,my_ENSGALG00000004779.macse_DNA_gb,540,10,0.0728,0.3333,0,0.04960708,0.98893
Chiari_ESTs,my_ENSGALG00000004818.macse_DNA_gb,603,16,0.0616,0.4179,0,0.24973501,1
Chiari_ESTs,my_ENSGALG00000004825.macse_DNA_gb,1077,9,0.0734,0.5543,0,0.06146856,1
Chiari_ESTs,my_ENSGALG00000004899.macse_DNA_gb,1326,10,0.124,0.5995,0,0,0.992464
Chiari_ESTs,my_ENSGALG00000004953.macse_DNA_gb,585,12,0.0726,0.3641,0,0.5921217,1
Chiari_ESTs,my_ENSGALG00000005002.macse_DNA_gb,849,11,0.0173,0.1837,0,0.99956486,1
Chiari_ESTs,my_ENSGALG00000005182.macse_DNA_gb,624,10,0.063,0.2933,0,0,1
Chiari_ESTs,my_ENSGALG00000005229.macse_DNA_gb,486,11,0.1145,0.642,0,0.70964454,1
Chiari_ESTs,my_ENSGALG00000005309.macse_DNA_gb,426,11,0.0006,0.007,0,0.50828219,1
Chiari_ESTs,my_ENSGALG00000005337.macse_DNA_gb,633,12,0.0837,0.4502,0,0.01137479,0.979814
Chiari_ESTs,my_ENSGALG00000005516.macse_DNA_gb,918,8,0.0748,0.4935,0,0,0.995643
Chiari_ESTs,my_ENSGALG00000005670.macse_DNA_gb,1278,11,0.1946,0.5798,0,0.00327282,0.996091
Chiari_ESTs,my_ENSGALG00000005694.macse_DNA_gb,585,13,0.0076,0.0513,0,0.00001526,1
Chiari_ESTs,my_ENSGALG00000005758.macse_DNA_gb,957,11,0.1003,0.4639,0,0.5211486,1
Chiari_ESTs,my_ENSGALG00000005807.macse_DNA_gb,429,12,0.074,0.5734,0,0.99667149,1
Chiari_ESTs,my_ENSGALG00000005820.macse_DNA_gb,576,12,0.0464,0.2708,0,0.9742749,1
Chiari_ESTs,my_ENSGALG00000005832.macse_DNA_gb,663,13,0.0602,0.4661,0,0.5140762,1
Chiari_ESTs,my_ENSGALG00000005834.macse_DNA_gb,696,15,0.1379,0.7069,0,0.96128976,1
Chiari_ESTs,my_ENSGALG00000005900.macse_DNA_gb,1002,9,0.0615,0.4521,0,0,0.987039
Chiari_ESTs,my_ENSGALG00000005902.macse_DNA_gb,570,13,0.0267,0.1579,0,0.99966469,0.984266
Chiari_ESTs,my_ENSGALG00000006001.macse_DNA_gb,876,14,0.1517,0.7158,0,0.17547904,1
Chiari_ESTs,my_ENSGALG00000006066.macse_DNA_gb,744,11,0.0869,0.3468,0,0.45296312,0.997312
Chiari_ESTs,my_ENSGALG00000006113.macse_DNA_gb,372,12,0.0181,0.1371,0,0.99996854,1
Chiari_ESTs,my_ENSGALG00000006156.macse_DNA_gb,987,12,0.0648,0.4742,0,0.00000011,0.997976
Chiari_ESTs,my_ENSGALG00000006206.macse_DNA_gb,399,12,0.1554,0.985,0,0.03505072,1
Chiari_ESTs,my_ENSGALG00000006276.macse_DNA_gb,792,9,0.0497,0.4205,0,0.00000345,0.974843
Chiari_ESTs,my_ENSGALG00000006425.macse_DNA_gb,894,10,0.0648,0.3926,0,0.05963437,0.997763
Chiari_ESTs,my_ENSGALG00000006439.macse_DNA_gb,864,10,0.1299,0.5729,0,0.00229055,0.990773
Chiari_ESTs,my_ENSGALG00000006619.macse_DNA_gb,1095,12,0.1393,0.6192,0,0.00000183,1
Chiari_ESTs,my_ENSGALG00000006731.macse_DNA_gb,861,11,0.095,0.4634,0,0.2584518,1
Chiari_ESTs,my_ENSGALG00000006767.macse_DNA_gb,1260,11,0.2097,0.7048,0,0,1
Chiari_ESTs,my_ENSGALG00000006824.macse_DNA_gb,729,10,0.1313,0.3827,0,0.0001164,1
Chiari_ESTs,my_ENSGALG00000006856.macse_DNA_gb,636,9,0.0865,0.5425,0,0.00000102,0.996855
Chiari_ESTs,my_ENSGALG00000006974.macse_DNA_gb,1197,10,0.1,0.4085,0,0,0.99081
Chiari_ESTs,my_ENSGALG00000007024.macse_DNA_gb,537,11,0.0254,0.2402,0,0.00000001,1
Chiari_ESTs,my_ENSGALG00000007289.macse_DNA_gb,657,11,0.1166,0.7078,0,0.00000407,0.993912
Chiari_ESTs,my_ENSGALG00000007315.macse_DNA_gb,621,13,0.081,0.4976,0,0.01530238,1
Chiari_ESTs,my_ENSGALG00000007484.macse_DNA_gb,762,12,0.1004,0.4213,0,0.00003259,1
Chiari_ESTs,my_ENSGALG00000007492.macse_DNA_gb,633,13,0.0897,0.6398,0,0.98498492,1
Chiari_ESTs,my_ENSGALG00000007520.macse_DNA_gb,483,12,0.2215,0.7143,0,0.00012544,1
Chiari_ESTs,my_ENSGALG00000007591.macse_DNA_gb,963,11,0.1076,0.5202,0,0.00000002,0.993789
Chiari_ESTs,my_ENSGALG00000007705.macse_DNA_gb,513,13,0.0166,0.0351,0,0.88691559,0.916179
Chiari_ESTs,my_ENSGALG00000007711.macse_DNA_gb,804,16,0.111,0.4366,0,0.00648753,0.995025
Chiari_ESTs,my_ENSGALG00000007931.macse_DNA_gb,837,12,0.0669,0.509,0,0.01947476,0.99642
Chiari_ESTs,my_ENSGALG00000008108.macse_DNA_gb,699,11,0.0722,0.4979,0,0.00164721,1
Chiari_ESTs,my_ENSGALG00000008130.macse_DNA_gb,558,14,0.0342,0.1667,0,0.95311033,1
Chiari_ESTs,my_ENSGALG00000008138.macse_DNA_gb,657,12,0.1644,0.5799,0,0.00000001,0.986466
Chiari_ESTs,my_ENSGALG00000008172.macse_DNA_gb,753,10,0.1023,0.4064,0,0.00000002,0.976096
Chiari_ESTs,my_ENSGALG00000008229.macse_DNA_gb,525,12,0.0671,0.6743,0,0.99987301,1
Chiari_ESTs,my_ENSGALG00000008314.macse_DNA_gb,441,10,0.0333,0.2041,0,0.26361919,1
Chiari_ESTs,my_ENSGALG00000008338.macse_DNA_gb,792,12,0.095,0.4773,0,0.00004331,0.987406
Chiari_ESTs,my_ENSGALG00000008454.macse_DNA_gb,564,11,0.1117,0.7447,0,0.08292206,1
Chiari_ESTs,my_ENSGALG00000008496.macse_DNA_gb,480,11,0.1159,0.7625,0,0,1
Chiari_ESTs,my_ENSGALG00000008517.macse_DNA_gb,540,11,0.0101,0.1056,0,0.99991248,0.992593
Chiari_ESTs,my_ENSGALG00000008632.macse_DNA_gb,780,11,0.0622,0.3231,0,0.00000618,1
Chiari_ESTs,my_ENSGALG00000008758.macse_DNA_gb,636,9,0.055,0.2689,0,0.95781953,0.99686
Chiari_ESTs,my_ENSGALG00000008812.macse_DNA_gb,837,15,0.1791,0.8996,0,0.95707346,1
Chiari_ESTs,my_ENSGALG00000008916.macse_DNA_gb,546,12,0.016,0.1484,0,0,0.996337
Chiari_ESTs,my_ENSGALG00000009061.macse_DNA_gb,831,12,0.1242,0.7148,0,0.99998055,1
Chiari_ESTs,my_ENSGALG00000009085.macse_DNA_gb,930,11,0.1885,0.9065,0,0.12723446,0.992473
Chiari_ESTs,my_ENSGALG00000009228.macse_DNA_gb,1338,10,0.1626,0.6188,0,0.00018013,0.992526
Chiari_ESTs,my_ENSGALG00000009264.macse_DNA_gb,726,11,0.0616,0.3678,0,0.99686081,1
Chiari_ESTs,my_ENSGALG00000009288.macse_DNA_gb,675,9,0.0617,0.2356,0,0.00080842,0.994118
Chiari_ESTs,my_ENSGALG00000009313.macse_DNA_gb,966,11,0.1347,0.6863,0,0.98613443,1
Chiari_ESTs,my_ENSGALG00000009369.macse_DNA_gb,591,14,0.033,0.2335,0,0.3272134,1
Chiari_ESTs,my_ENSGALG00000009829.macse_DNA_gb,507,13,0.0319,0.2249,0,0.01480312,1
Chiari_ESTs,my_ENSGALG00000009879.macse_DNA_gb,597,13,0.0635,0.2864,0,0.63010202,1
Chiari_ESTs,my_ENSGALG00000009961.macse_DNA_gb,843,13,0.0671,0.5587,0,0.99980304,1
Chiari_ESTs,my_ENSGALG00000009975.macse_DNA_gb,960,12,0.1224,0.7562,0,0.00606334,0.99375
Chiari_ESTs,my_ENSGALG00000010005.macse_DNA_gb,528,13,0.1058,0.4886,0,0.18200962,1
Chiari_ESTs,my_ENSGALG00000010178.macse_DNA_gb,1404,10,0.1336,0.6688,0,0.00000021,0.99858
Chiari_ESTs,my_ENSGALG00000010243.macse_DNA_gb,594,14,0.026,0.1869,0,0.84555094,1
Chiari_ESTs,my_ENSGALG00000010298.macse_DNA_gb,543,11,0.0216,0.116,0,0,1
Chiari_ESTs,my_ENSGALG00000010315.macse_DNA_gb,1149,10,0.2728,0.9817,0,0.00000001,0.893821
Chiari_ESTs,my_ENSGALG00000010618.macse_DNA_gb,822,12,0.1071,0.4416,0,0.17047079,0.997567
Chiari_ESTs,my_ENSGALG00000010641.macse_DNA_gb,609,13,0.0436,0.3251,0,0.99380242,1
Chiari_ESTs,my_ENSGALG00000010671.macse_DNA_gb,1158,15,0.0938,0.4171,0,0.96815884,0.998282
Chiari_ESTs,my_ENSGALG00000010848.macse_DNA_gb,738,9,0.0705,0.3211,0,0.12641728,1
Chiari_ESTs,my_ENSGALG00000011174.macse_DNA_gb,645,15,0.0599,0.3116,0,0.9407518,0.990798
Chiari_ESTs,my_ENSGALG00000011184.macse_DNA_gb,669,10,0.0269,0.2691,0,0.99869446,1
Chiari_ESTs,my_ENSGALG00000011192.macse_DNA_gb,1224,10,0.1571,0.6103,0,0.57737247,0.996732
Chiari_ESTs,my_ENSGALG00000011323.macse_DNA_gb,900,9,0.0674,0.46,0,0.02147263,0.997778
Chiari_ESTs,my_ENSGALG00000011403.macse_DNA_gb,1020,14,0.2131,0.8853,0,0.00046572,0.995127
Chiari_ESTs,my_ENSGALG00000011434.macse_DNA_gb,447,10,0.0349,0.3289,0,0.00000007,1
Chiari_ESTs,my_ENSGALG00000011452.macse_DNA_gb,618,14,0.0963,0.4612,0,0.6126448,0.991909
Chiari_ESTs,my_ENSGALG00000011555.macse_DNA_gb,471,13,0.051,0.4522,0,0.99999999,0.995781
Chiari_ESTs,my_ENSGALG00000011649.macse_DNA_gb,825,10,0.064,0.4036,0,0.00523435,0.997593
Chiari_ESTs,my_ENSGALG00000011885.macse_DNA_gb,879,13,0.061,0.4107,0,0.97804127,1
Chiari_ESTs,my_ENSGALG00000011887.macse_DNA_gb,774,10,0.0298,0.1124,0,0.13551536,1
Chiari_ESTs,my_ENSGALG00000011905.macse_DNA_gb,1899,14,0.1207,0.7235,0,0.8705625,0.997899
Chiari_ESTs,my_ENSGALG00000011917.macse_DNA_gb,981,12,0.0917,0.5627,0,0.00000257,1
Chiari_ESTs,my_ENSGALG00000011950.macse_DNA_gb,651,13,0.1333,0.977,0,0.00000006,1
Chiari_ESTs,my_ENSGALG00000011965.macse_DNA_gb,681,10,0.07,0.2599,0,0.00001511,0.970674
Chiari_ESTs,my_ENSGALG00000011966.macse_DNA_gb,468,10,0,0,0,0.00226648,1
Chiari_ESTs,my_ENSGALG00000012011.macse_DNA_gb,522,10,0.0287,0.2759,0,0.00000011,0.996169
Chiari_ESTs,my_ENSGALG00000012013.macse_DNA_gb,852,10,0.0459,0.3028,0,0.17587194,0.995305
Chiari_ESTs,my_ENSGALG00000012034.macse_DNA_gb,1011,11,0.0985,0.5608,0,0,1
Chiari_ESTs,my_ENSGALG00000012109.macse_DNA_gb,1032,16,0.1117,0.5872,0,0.89770165,1
Chiari_ESTs,my_ENSGALG00000012149.macse_DNA_gb,669,12,0.1547,0.704,0,0.00000001,0.916667
Chiari_ESTs,my_ENSGALG00000012196.macse_DNA_gb,771,10,0.0891,0.4008,0,0.00010501,1
Chiari_ESTs,my_ENSGALG00000012233.macse_DNA_gb,612,10,0.05,0.2402,0,0.99856943,1
Chiari_ESTs,my_ENSGALG00000012244.macse_DNA_gb,753,13,0.0668,0.3426,0,0.00036713,1
Chiari_ESTs,my_ENSGALG00000012259.macse_DNA_gb,609,9,0.0438,0.2167,0,0.00000024,0.956098
Chiari_ESTs,my_ENSGALG00000012312.macse_DNA_gb,720,10,0.081,0.3167,0,0.00006708,0.950139
Chiari_ESTs,my_ENSGALG00000012355.macse_DNA_gb,579,11,0.0782,0.3782,0,0.0709733,0.996546
Chiari_ESTs,my_ENSGALG00000012365.macse_DNA_gb,702,12,0.141,0.8333,0,0,1
Chiari_ESTs,my_ENSGALG00000012379.macse_DNA_gb,519,13,0.0445,0.2428,0,0.37668037,0.992293
Chiari_ESTs,my_ENSGALG00000012529.macse_DNA_gb,882,14,0.069,0.415,0,0.00858908,0.997732
Chiari_ESTs,my_ENSGALG00000012543.macse_DNA_gb,672,10,0.0911,0.4821,0,0.00000116,1
Chiari_ESTs,my_ENSGALG00000012568.macse_DNA_gb,630,9,0.0571,0.2143,0,0.22749791,1
Chiari_ESTs,my_ENSGALG00000012611.macse_DNA_gb,1008,11,0.1375,0.5655,0,0.00807288,1
Chiari_ESTs,my_ENSGALG00000012724.macse_DNA_gb,792,10,0.0636,0.2917,0,0.85846937,1
Chiari_ESTs,my_ENSGALG00000012798.macse_DNA_gb,570,13,0.049,0.2842,0,0.99998324,1
Chiari_ESTs,my_ENSGALG00000012964.macse_DNA_gb,582,12,0.1186,0.799,0,0.05578334,0.993127
Chiari_ESTs,my_ENSGALG00000013021.macse_DNA_gb,1284,10,0.1589,0.5748,0,0.99803656,0.996885
Chiari_ESTs,my_ENSGALG00000013041.macse_DNA_gb,471,14,0.0924,0.535,0,0.96072565,0.995754
Chiari_ESTs,my_ENSGALG00000013160.macse_DNA_gb,513,11,0.0255,0.1287,0,0.45631077,1
Chiari_ESTs,my_ENSGALG00000013227.macse_DNA_gb,1302,10,0.1652,0.6521,0,0.62279037,0.986175
Chiari_ESTs,my_ENSGALG00000013352.macse_DNA_gb,558,12,0.0161,0.1344,0,0.00059951,1
Chiari_ESTs,my_ENSGALG00000013599.macse_DNA_gb,702,10,0.0611,0.312,0,0,0.997163
Chiari_ESTs,my_ENSGALG00000013863.macse_DNA_gb,546,12,0.005,0.033,0,0.86271396,1
Chiari_ESTs,my_ENSGALG00000013962.macse_DNA_gb,1491,11,0.1615,0.6539,0,0.68220028,0.997317
Chiari_ESTs,my_ENSGALG00000014038.macse_DNA_gb,561,11,0.0031,0.0321,0,0.99951455,0.980462
Chiari_ESTs,my_ENSGALG00000014115.macse_DNA_gb,702,11,0.0606,0.265,0,0.00574522,0.987179
Chiari_ESTs,my_ENSGALG00000014163.macse_DNA_gb,1035,9,0.1417,0.7362,0,0,1
Chiari_ESTs,my_ENSGALG00000014226.macse_DNA_gb,606,9,0.0814,0.2525,0,0.00000001,0.967159
Chiari_ESTs,my_ENSGALG00000014247.macse_DNA_gb,867,10,0.1242,0.5329,0,0,1
Chiari_ESTs,my_ENSGALG00000014445.macse_DNA_gb,558,11,0.1808,0.9892,0,0.00158356,0.978533
Chiari_ESTs,my_ENSGALG00000014447.macse_DNA_gb,510,11,0.0077,0.0784,0,0.99711225,1
Chiari_ESTs,my_ENSGALG00000014570.macse_DNA_gb,663,13,0.1069,0.5339,0,0.00037824,1
Chiari_ESTs,my_ENSGALG00000014648.macse_DNA_gb,498,9,0.0127,0.0783,0,0.99979765,1
Chiari_ESTs,my_ENSGALG00000014786.macse_DNA_gb,348,11,0.0854,0.7672,0,0.00000271,0.988506
Chiari_ESTs,my_ENSGALG00000014824.macse_DNA_gb,609,9,0.1144,0.5665,0,0.01236886,1
Chiari_ESTs,my_ENSGALG00000014862.macse_DNA_gb,1557,10,0.1175,0.6898,0,0.28909244,0.990366
Chiari_ESTs,my_ENSGALG00000014920.macse_DNA_gb,768,10,0.0563,0.3281,0,0.99921088,0.992218
Chiari_ESTs,my_ENSGALG00000014991.macse_DNA_gb,1050,11,0.0896,0.54,0,0.99777988,1
Chiari_ESTs,my_ENSGALG00000015200.macse_DNA_gb,633,11,0.1426,0.7488,0,0.00212756,0.988942
Chiari_ESTs,my_ENSGALG00000015225.macse_DNA_gb,762,9,0.049,0.3701,0,0.17052948,0.993447
Chiari_ESTs,my_ENSGALG00000015240.macse_DNA_gb,666,12,0.036,0.2793,0,0.8315655,1
Chiari_ESTs,my_ENSGALG00000015285.macse_DNA_gb,792,15,0.0891,0.428,0,0.98597055,1
Chiari_ESTs,my_ENSGALG00000015308.macse_DNA_gb,678,12,0.0782,0.5442,0,0.98717236,1
Chiari_ESTs,my_ENSGALG00000015326.macse_DNA_gb,597,10,0.0583,0.2915,0,0.98861537,0.973727
Chiari_ESTs,my_ENSGALG00000015330.macse_DNA_gb,471,10,0.0822,0.6624,0,0.99978265,0.970276
Chiari_ESTs,my_ENSGALG00000015334.macse_DNA_gb,1053,9,0.0647,0.5641,0,0.00000076,0.998104
Chiari_ESTs,my_ENSGALG00000015339.macse_DNA_gb,468,14,0.0018,0.0128,0,0.99024429,0.995736
Chiari_ESTs,my_ENSGALG00000015397.macse_DNA_gb,594,12,0.024,0.1465,0,0.87494393,0.984925
Chiari_ESTs,my_ENSGALG00000015402.macse_DNA_gb,492,9,0.019,0.1159,0,0.30854787,0.979798
Chiari_ESTs,my_ENSGALG00000015405.macse_DNA_gb,786,10,0.0076,0.0763,0,0.0808827,1
Chiari_ESTs,my_ENSGALG00000015436.macse_DNA_gb,597,14,0.0115,0.0553,0,0.99954418,0.99005
Chiari_ESTs,my_ENSGALG00000015439.macse_DNA_gb,630,10,0.0448,0.1524,0,0.9994974,0.996825
Chiari_ESTs,my_ENSGALG00000015451.macse_DNA_gb,1128,9,0.1067,0.5824,0,0.09024435,0.99469
Chiari_ESTs,my_ENSGALG00000015485.macse_DNA_gb,1032,9,0.1163,0.5378,0,0,0.998062
Chiari_ESTs,my_ENSGALG00000015689.macse_DNA_gb,513,12,0.2018,0.8363,0,0.89367829,0.990291
Chiari_ESTs,my_ENSGALG00000015729.macse_DNA_gb,969,9,0.0574,0.517,0,0.3218905,1
Chiari_ESTs,my_ENSGALG00000015889.macse_DNA_gb,1425,10,0.1683,0.6575,0,0.00129582,0.995789
Chiari_ESTs,my_ENSGALG00000015917.macse_DNA_gb,1014,12,0.1172,0.503,0,0.2121865,0.996059
Chiari_ESTs,my_ENSGALG00000015976.macse_DNA_gb,471,11,0.0008,0.0064,0,0.21689309,0.993631
Chiari_ESTs,my_ENSGALG00000015995.macse_DNA_gb,687,9,0.0636,0.31,0,0.31714332,1
Chiari_ESTs,my_ENSGALG00000016053.macse_DNA_gb,852,11,0.1598,0.8979,0,0.70876517,0.998009
Chiari_ESTs,my_ENSGALG00000016119.macse_DNA_gb,741,13,0.0775,0.3995,0,0.99873716,0.997301
Chiari_ESTs,my_ENSGALG00000016122.macse_DNA_gb,516,16,0.068,0.4302,0,0.85597334,1
Chiari_ESTs,my_ENSGALG00000016241.macse_DNA_gb,675,13,0.0718,0.5911,0,0.95320541,0.994074
Chiari_ESTs,my_ENSGALG00000016320.macse_DNA_gb,777,14,0.0905,0.3629,0,0.98865692,0.988417
Chiari_ESTs,my_ENSGALG00000016357.macse_DNA_gb,606,15,0.0186,0.066,0,0.39158845,1
Chiari_ESTs,my_ENSGALG00000016409.macse_DNA_gb,495,9,0,0,0,0.98438388,1
Chiari_ESTs,my_ENSGALG00000016479.macse_DNA_gb,561,14,0.0817,0.5348,0,0.81345568,0.996435
Chiari_ESTs,my_ENSGALG00000016536.macse_DNA_gb,819,13,0.1958,0.8608,0,0.00000003,1
Chiari_ESTs,my_ENSGALG00000016633.macse_DNA_gb,642,9,0.1085,0.7757,0,0,0.996885
Chiari_ESTs,my_ENSGALG00000016666.macse_DNA_gb,654,13,0.0466,0.2477,0,0.00012297,0.915902
Chiari_ESTs,my_ENSGALG00000016731.macse_DNA_gb,693,9,0.012,0.0909,0,0,1
Chiari_ESTs,my_ENSGALG00000016753.macse_DNA_gb,771,11,0.0924,0.4099,0,0,1
Chiari_ESTs,my_ENSGALG00000016847.macse_DNA_gb,1128,10,0.1532,0.6862,0,0.00010044,1
Chiari_ESTs,my_ENSGALG00000016909.macse_DNA_gb,546,11,0.048,0.4396,0,0.99991274,1
